fold,infer_tumor_frac,n_negative,n_positive,prior_0,prior_1,logit_adj_tau
0,0.0,99,4,0.9611650485436893,0.038834951456310676,0.5
1,0.0,108,5,0.9557522123893806,0.04424778761061947,0.5
2,0.0,98,4,0.9607843137254902,0.0392156862745098,0.5
3,0.0,97,4,0.9603960396039604,0.039603960396039604,0.5
4,0.0,100,6,0.9433962264150944,0.05660377358490566,0.5
